query,resolved_name,matched_name,resolved_status,matched_status,match_type,taxid
Oreogrammitis fasciata (Blume) Parris,Oreogrammitis fasciata (Blume) Parris,Oreogrammitis fasciata (Blume) Parris,accepted,accepted,exact,2869517
Oreogrammitis archboldii (C.Chr.) Parris,Oreogrammitis archboldii (C. Chr.) Parris,Oreogrammitis archboldii (C. Chr.) Parris,accepted,accepted,auto_punct,2869518
Oreogrammitis caespitosa (Blume) Parris,Oreogrammitis caespitosa (Blume) Parris,Oreogrammitis caespitosa (Blume) Parris,accepted,accepted,exact,2869519
Oreogrammitis curtipila (Parris) Parris,Oreogrammitis curtipila (Parris) Parris,Oreogrammitis curtipila (Parris) Parris,accepted,accepted,exact,2869520
Oreogrammitis frigida (Ridl.) Parris,Oreogrammitis frigida (Ridl.) Parris,Oreogrammitis frigida (Ridl.) Parris,accepted,accepted,exact,2869521
Oreogrammitis longiceps (Rosenst.) Parris,Oreogrammitis longiceps (Rosenst.) Parris,Oreogrammitis longiceps (Rosenst.) Parris,accepted,accepted,exact,2869522
Oreogrammitis marivelesensis (Copel.) Parris,Oreogrammitis marivelesensis (Copel.) Parris,Oreogrammitis marivelesensis (Copel.) Parris,accepted,accepted,exact,2869523
Oreogrammitis mollipila (Baker) Parris,Oreogrammitis mollipila (Baker) Parris,Oreogrammitis mollipila (Baker) Parris,accepted,accepted,exact,2869524
Oreogrammitis nana (Fee) Parris,Oreogrammitis nana (Fée) Parris,Oreogrammitis nana (Fée) Parris,accepted,accepted,auto_punct,2869525
Oreogrammitis parvula Parris,Oreogrammitis parvula Parris,Oreogrammitis parvula Parris,accepted,accepted,exact,2869527
Oreogrammitis pilosiuscula (Blume) Parris,Oreogrammitis pilosiuscula (Blume) Parris,Oreogrammitis pilosiuscula (Blume) Parris,accepted,accepted,exact,2869528
Oreogrammitis pleurogrammoides (Rosenst.) Parris,Oreogrammitis pleurogrammoides (Rosenst.) Parris,Oreogrammitis pleurogrammoides (Rosenst.) Parris,accepted,accepted,exact,2869529
Oreogrammitis scabristipes (Baker) Parris,Oreogrammitis scabristipes (Baker) Parris,Oreogrammitis scabristipes (Baker) Parris,accepted,accepted,exact,2869530
Oreogrammitis sinohirtella Parris,Oreogrammitis sinohirtella Parris,Oreogrammitis sinohirtella Parris,accepted,accepted,exact,2869531
Oreogrammitis subevenosa (Baker) Parris,Oreogrammitis subevenosa (Baker) Parris,Oreogrammitis subevenosa (Baker) Parris,accepted,accepted,exact,2869532
Oreogrammitis sumatrana (Baker) Parris,Oreogrammitis sumatrana (Baker) Parris,Oreogrammitis sumatrana (Baker) Parris,accepted,accepted,exact,2869533
Oreogrammitis torricelliana (Brause) Parris,Oreogrammitis torricelliana (Brause) Parris,Oreogrammitis torricelliana (Brause) Parris,accepted,accepted,exact,2869534
Oreogrammitis taiwanensis (Parris & Ralf Knapp) T.C.Hsu,Oreogrammitis taiwanensis (Parris & Ralf Knapp) T. C. Hsu,Oreogrammitis taiwanensis (Parris & Ralf Knapp) T. C. Hsu,accepted,accepted,auto_punct,2869538
Didymochlaena sinuosa Desv.,Didymochlaena sinuosa Desv.,Didymochlaena sinuosa Desv.,accepted,accepted,exact,2879208
Didymochlaena fijiensis Li Bing Zhang & H.Shang,Didymochlaena fijiensis Li Bing Zhang & H. Shang,Didymochlaena fijiensis Li Bing Zhang & H. Shang,accepted,accepted,auto_punct,2879210
Didymochlaena oceanica Li Bing Zhang & H.Shang,Didymochlaena oceanica (Rosenstock) Li Bing Zhang & H. Shang,Didymochlaena oceanica (Rosenstock) Li Bing Zhang & H. Shang,accepted,accepted,auto_basio-,2879211
Didymochlaena punctata Li Bing Zhang & H.Shang,Didymochlaena punctata Li Bing Zhang & H. Shang,Didymochlaena punctata Li Bing Zhang & H. Shang,accepted,accepted,auto_punct,2879212
Didymochlaena solomonensis Li Bing Zhang & H.Shang,Didymochlaena solomonensis Li Bing Zhang & H. Shang,Didymochlaena solomonensis Li Bing Zhang & H. Shang,accepted,accepted,auto_punct,2879213
Didymochlaena philippensis Li Bing Zhang & H.Shang,Didymochlaena philippensis Li Bing Zhang & H. Shang,Didymochlaena philippensis Li Bing Zhang & H. Shang,accepted,accepted,auto_punct,2880261
Oreogrammitis malayensis Parris,Oreogrammitis malayensis Parris,Oreogrammitis malayensis Parris,accepted,accepted,exact,2892311
Didymochlaena dimidiata Kunze,Didymochlaena dimidiata Kunze,Didymochlaena dimidiata Kunze,accepted,accepted,exact,2893528
Didymochlaena spinulosa (Brause) Li Bing Zhang & H.Shang,Didymochlaena spinulosa (Brause) Li Bing Zhang & H. Shang,Didymochlaena spinulosa (Brause) Li Bing Zhang & H. Shang,accepted,accepted,auto_punct,2893529
"Hypodematium boonkerdii Pongkai, Li Bing Zhang & Pollawatn","Hypodematium boonkerdii Pongkai, Li Bing Zhang & Pollawatn","Hypodematium boonkerdii Pongkai, Li Bing Zhang & Pollawatn",accepted,accepted,exact,2893530
"Hypodematium brevipilosum Li Bing Zhang, X.P.Fan & X.F.Gao","Hypodematium brevipilosum Li Bing Zhang, X. P. Fan & X. F. Gao","Hypodematium brevipilosum Li Bing Zhang, X. P. Fan & X. F. Gao",accepted,accepted,auto_punct,2893531
Hypodematium chrysolepis (Fee) X.P.Fan & Li Bing Zhang,Hypodematium chrysolepis (Fée) X. P. Fan & Li Bing Zhang,Hypodematium chrysolepis (Fée) X. P. Fan & Li Bing Zhang,accepted,accepted,auto_punct,2893532
"Hypodematium confertivillosum J.X.Li, F.Q.Zhou & X.J.Li","Hypodematium confertivillosum J. X. Li, F. Q. Zhou & X. J. Li","Hypodematium confertivillosum J. X. Li, F. Q. Zhou & X. J. Li",accepted,accepted,auto_punct,2893533
Hypodematium daochengense K.H.Shing,Hypodematium daochengense K. H. Shing,Hypodematium daochengense K. H. Shing,accepted,accepted,auto_punct,2893535
"Hypodematium eglandulosum X.P.Fan, Liang Zhang & Li Bing Zhang","Hypodematium eglandulosum X. P. Fan, Liang Zhang & Li Bing Zhang","Hypodematium eglandulosum X. P. Fan, Liang Zhang & Li Bing Zhang",accepted,accepted,auto_punct,2893537
Hypodematium glabrum Ching ex K.H.Shing,Hypodematium glabrum Ching ex K. H. Shing,Hypodematium glabrum Ching ex K. H. Shing,accepted,accepted,auto_punct,2893539
Hypodematium glandulosum Ching ex K.H.Shing,Hypodematium glandulosum Ching ex K. H. Shing,Hypodematium glandulosum Ching ex K. H. Shing,accepted,accepted,auto_punct,2893540
Hypodematium gracile Ching,Hypodematium gracile Ching,Hypodematium gracile Ching,accepted,accepted,exact,2893541
Hypodematium hirsutum (Don) Ching,Hypodematium hirsutum (D. Don) Ching,Hypodematium hirsutum (D. Don) Ching,accepted,accepted,auto_basexin,2893542
"Hypodematium parvisorum Li Bing Zhang, X.P.Fan & X.F.Gao","Hypodematium parvisorum Li Bing Zhang, X. P. Fan & X. F. Gao","Hypodematium parvisorum Li Bing Zhang, X. P. Fan & X. F. Gao",accepted,accepted,auto_punct,2893544
"Hypodematium ryukyuense Li Bing Zhang, X.P.Fan & X.F.Gao","Hypodematium ryukyuense Li Bing Zhang, X. P. Fan & X. F. Gao","Hypodematium ryukyuense Li Bing Zhang, X. P. Fan & X. F. Gao",accepted,accepted,auto_punct,2893545
"Hypodematium shingii Li Bing Zhang, X.P.Fan & X.F.Gao","Hypodematium shingii Li Bing Zhang, X. P. Fan & X. F. Gao","Hypodematium shingii Li Bing Zhang, X. P. Fan & X. F. Gao",accepted,accepted,auto_punct,2893546
Hypodematium sinense K.Iwats.,Hypodematium sinense K. Iwats.,Hypodematium sinense K. Iwats.,accepted,accepted,auto_punct,2893547
"Hypodematium subglabrum Li Bing Zhang, X.P.Fan & X.F.Gao","Hypodematium subglabrum Li Bing Zhang, X. P. Fan & X. F. Gao","Hypodematium subglabrum Li Bing Zhang, X. P. Fan & X. F. Gao",accepted,accepted,auto_punct,2893548
"Hypodematium truncatum Li Bing Zhang, X.P.Fan & X.F.Gao","Hypodematium truncatum Li Bing Zhang, X. P. Fan & X. F. Gao","Hypodematium truncatum Li Bing Zhang, X. P. Fan & X. F. Gao",accepted,accepted,auto_punct,2893550
Hypodematium villosum F.G.Wang & F.W.Xing,Hypodematium villosum F. G. Wang & F. W. Xing,Hypodematium villosum F. G. Wang & F. W. Xing,accepted,accepted,auto_punct,2893559
Elaphoglossum xanthopodum Mickel,Elaphoglossum xanthopodum Mickel,Elaphoglossum xanthopodum Mickel,accepted,accepted,exact,2900141
Phanerophlebia macrosora (Baker) Underw.,Phanerophlebia macrosora (Baker) Underw.,Phanerophlebia macrosora (Baker) Underw.,accepted,accepted,exact,2900142
Polypodium conterminans Liebm.,Polypodium conterminans Liebm.,Polypodium conterminans Liebm.,accepted,accepted,exact,2900143
"Dryopteris wulingshanensis J.P.Shu, Y.H.Yan & R.J.Wang","Dryopteris wulingshanensis J. P. Shu, Y. H. Yan & R. J. Wang","Dryopteris wulingshanensis J. P. Shu, Y. H. Yan & R. J. Wang",accepted,accepted,auto_punct,2900325
Dryopteris jishouensis G.X.Chen & D.G.Zhang,Dryopteris jishouensis G. X. Chen & D. G. Zhang,Dryopteris jishouensis G. X. Chen & D. G. Zhang,accepted,accepted,auto_punct,2900326
Bolbitis hastata (E.Fourn.) Hennipman,Bolbitis hastata (Liebm. ex E. Fourn.) Hennipman,Bolbitis hastata (Liebm. ex E. Fourn.) Hennipman,accepted,accepted,auto_basexin,2906633
Diplazium donnell-smithii Christ,Diplazium donnell-smithii Christ,Diplazium donnell-smithii Christ,accepted,accepted,exact,2906634
Diplazium ternatum Liebm.,Diplazium ternatum Liebm.,Diplazium ternatum Liebm.,accepted,accepted,exact,2906635
Elaphoglossum alan-smithii Mickel,Elaphoglossum alansmithii Mickel,Elaphoglossum alansmithii Mickel,accepted,accepted,auto_punct,2906636
Elaphoglossum obscurum (E.Fourn.) C.Chr.,Elaphoglossum obscurum (E. Fourn.) C. Chr.,Elaphoglossum obscurum (E. Fourn.) C. Chr.,accepted,accepted,auto_punct,2906637
Phanerophlebia remotispora E.Fourn.,Phanerophlebia remotispora E. Fourn.,Phanerophlebia remotispora E. Fourn.,accepted,accepted,auto_punct,2906638
Pleopeltis villagranii (Copel.) A.R.Sm. & Tejero,Pleopeltis villagranii (Copel.) A. R. Sm. & Tejero,Pleopeltis villagranii (Copel.) A. R. Sm. & Tejero,accepted,accepted,auto_punct,2906640
Polypodium eatonii Baker,Polypodium eatonii Baker,Polypodium eatonii Baker,accepted,accepted,exact,2906641
Pteris pulchra Schltdl. & Cham.,Pteris pulchra Schltdl. & Cham.,Pteris pulchra Schltdl. & Cham.,accepted,accepted,exact,2906642
"Ophioglossum trilokinathii B.L.Yadav, M.K.Meghvansi, K.Meena & C.B.Gena","Ophioglossum trilokinathii B.L.Yadav, M.K.Meghvansi, K.Meena & C.B.Gena","Ophioglossum trilokinathii B.L.Yadav, M.K.Meghvansi, K.Meena & C.B.Gena",accepted,accepted,exact,2909875
Lomariopsis kingii (Copel.) Holttum,Lomariopsis kingii (Copel.) Holttum,Lomariopsis kingii (Copel.) Holttum,accepted,accepted,exact,2912852
Lomariopsis leptocarpa Fee,Lomariopsis leptocarpa Fée,Lomariopsis leptocarpa Fée,accepted,accepted,auto_punct,2912853
Lomariopsis moorei Y.H.Wu & L.Y.Kuo,Lomariopsis moorei Y.H.Wu & L.Y.Kuo,Lomariopsis moorei Y.H.Wu & L.Y.Kuo,accepted,accepted,exact,2912857
Pteris oshimensis var. paraemeiensis Ching,Pteris oshimensis var. paraemeiensis Ching,Pteris oshimensis var. paraemeiensis Ching,accepted,accepted,exact,2919483
Pteris austrotaiwanensis Y.S.Chao,Pteris austrotaiwanensis Y. S. Chao,Pteris austrotaiwanensis Y. S. Chao,accepted,accepted,auto_punct,2919484
Pteris pseudowulaiensis Y.S.Chao,Pteris pseudowulaiensis Y. S. Chao,Pteris pseudowulaiensis Y. S. Chao,accepted,accepted,auto_punct,2919485
Amauropelta miyagii (H.Ito) S.E.Fawc. & A.R.Sm.,Amauropelta miyagii (H. Ito) S. E. Fawc. & A. R. Sm.,Amauropelta miyagii (H. Ito) S. E. Fawc. & A. R. Sm.,accepted,accepted,auto_punct,2925008
Coryphopteris nipponica (Franch. & Sav.) S.E.Fawc. & A.R.Sm.,Coryphopteris nipponica (Franch. & Sav.) S. E. Fawc. & A. R. Sm.,Coryphopteris nipponica (Franch. & Sav.) S. E. Fawc. & A. R. Sm.,accepted,accepted,auto_punct,2925009
